Key,Description,Standard,ES
SAY.Tutorial and First Room.374.,,"You are strong,\nbut not so much.",Tu eres fuerte. \n Pero no tan fuerte. 
SAY.Tutorial and First Room.375.,,"The minotaur mortally wounds you, the dungeon has claimed another victim to your list, good luck for the next one.","El minotauro te hiere de muerte, el calabozo clama otra víctima a su lista, buena suerte la próxima vez. "
SAY.Tutorial and First Room.379.,,"Your headbutt is not very effective, you hurt more you than the minotaur.","Tu cabezazo no es muy efectivo, te lastimas mas a ti que al minotauro. "
SAY.Tutorial and First Room.380.,,"
What you did is make him more angry, the minotaur takes advantage of your mistake to exchange papers.","Lo que hiciste es enfadarlo más, el minotauro aprovecha tu error para intercambiar papeles. "
SAY.Tutorial and First Room.381.,,"Take your head between his claws, like a watermelon your head explote for the presure of the beast.","Toma tu cabeza entre sus garras, como una sandía, tu cabeza explota por la presión de la bestia. "
SAY.Tutorial and First Room.384.,,"You let yourself fall back dragging the minotaur, using your leg as a lever you manage to catapult it by throwing it through the air.","Te dejas caer hacia atrás arrastrando al minotauro, usando tu pierna como palanca logras catapultarlo  por los aires."
SAY.Tutorial and First Room.385.,,"The minotaur is launched by your maneuver, 
now that you have managed to get rid of the minotaur you must decide.","El minotauro sale lanzado por tu maniobra,ahora que has logrado quitarte de encima al minotauro debes decidir."
MENU.Tutorial and First Room.386,,Attack,Ataque
MENU.Tutorial and First Room.387,,Use spell to escape,Derecha
SAY.Tutorial and First Room.391.,,You have decided to attack the beast.,Haz decidido atacar a la bestia. 
SAY.Tutorial and First Room.393.,,,
You draw your swords and you throw yourself against the beast.,,,
SAY.Tutorial and First Room.395.,,"
You run to attack the minotaur, jump to execute a strong thrust at the minotaur with your swords.","Corres a atacar al minotauro, saltas para ejecutar una fuerte estocada al minotauro con tus espadas."
SAY.Tutorial and First Room.396.,,The minotaur stopped your attack with his claws.,El minotauro detuvo tu ataque con sus garras.
SAY.Tutorial and First Room.397.,,,
After stopping your attack the minotaur takes impulse and throws you fiercely against the wall of the dungeon.,,,
WRITE.Tutorial and First Room.477,,{$life},
SAY.Tutorial and First Room.489.,,"
The impact shakes you, you take your swords and you throw yourself again against the minotaur, but this time you throw one of the swords at the minotaur.","El impacto te sacude, tomas tus espadas y te lanzas otra vez contra el minotauro, pero esta vez lanzas una de las espadas al minotauro."
SAY.Tutorial and First Room.490.,,"
You slide to try to pass between the legs of the minotaur, but this takes you from the neck to the ground, while the sword falls","Te deslizas para intentar pasar entre las piernas del minotauro, pero este te toma del cuello contra el suelo, mientras la espada cae."
SAY.Tutorial and First Room.491.,,"
The minotaur turns to see the other sword fall, take advantage of the distraction to nail your other sword in his throat, the beast rises after receiving the attack.","El minotauro gira al ver la otra espada caer, aprovechas la distraccion para clavar tu otra espada  en su garganta, la bestia se levanta tras recibir el ataque."
SAY.Tutorial and First Room.492.,,"
Take your hands to the neck trying to cover the wound while your other sword falls, you take it in the air and with it you give the last blow to the minotaur's forehead.","Lleva sus manos al cuello intentando tapar la herida mientras tu otra espada cae, la tomas en el aire y con ella das el ultimo golpe en la frente del minotauro."
SAY.Tutorial and First Room.494.,,"
You take your hammer to attack the minotaur, start spinning it in a dizzy way, the minotaur does not intimidate and tries to attack you.","Tomas tu martillo para atacar al minotauro, comienzas a girarlo de manera vertiginosa, el minotauro no se intimida e intenta atacarte."
SAY.Tutorial and First Room.495.,,,
At the last moment you change the trajectory of the turn and you are looking to connect the minotaur with a vertical turn.,,,En el último momento cambias la trayectoria del giro y buscas conectar al minotauro con un giro vertical.
SAY.Tutorial and First Room.496.,,"
You connect the beast with your blow, tearing off its jaw and leaving its inert body suspended in the air for a moment before falling.","Conectas a la bestia con tu golpe, arrancandole la mandibula y dejando su cuerpo inerte suspendido en el aire durante unos instantes antes de caer."
SAY.Tutorial and First Room.498.,,"
You turn quickly and manage to shoot several arrows straight at the thick skin of the beast, but you can not hurt it enough.","Giras rápidamente y logras lanzar varias flechas directo a la gruesa piel de la bestia, pero no logras lastimarlo lo suficiente."
SAY.Tutorial and First Room.499.,,"
The minotaur does not flinch, now runs to hit you, you manage to evade the first attacks but you start to run out of space.","El minotauro ni se inmuta, ahora corre a golpearte, logras evadir los primeros ataques pero empiezas a quedarte sin espacio."
SAY.Tutorial and First Room.500.,,,
Finally this catches you in his arms and begins to squeeze you with strength.,,,Finalmente este te atrapa entre sus brazos y comienza a apretarte con fuerzas.
SAY.Tutorial and First Room.501.,,"
You feel your bones creak as if you were about to break, desperate you take an arrow and nail it in the eyes of the beast.","Sientes como tus huesos crujen como si estuviera a punto de quebrarse, desesperado tomas  una flecha y la clavas en los ojos de la bestia."
SAY.Tutorial and First Room.502.,,"
The beast roars with pain and lets go, now take the opportunity to take distance, while the minotaur rejoins, panting heavily.","La bestia ruge de dolor y te suelta, ahora aprovechas para tomar distancia, mientras el minotauro se reincorpora, jadea fuertemente."
SAY.Tutorial and First Room.503.,,"
Tie a rope to a special arrow, the material that is made is much more resistant, you are ready to attack the minotaur.","Atas una cuerda a una flecha especial,el material con el que esta hecha es mucho mas resistente, te dispones a atacar al minotauro."
SAY.Tutorial and First Room.504.,,"
Now you move to the blind side of the minotaur, the spear blow to the air which you evade, but take advantage to catch the hand in the rope, when you fall you shoot the arrow to the roof of the dungeon.","Ahora te mueves hacia el lado ciego del minotauro, el lanza golpe al aire el cual evades, pero aprovechas para atrapar la mano en la soga, al caer disparas la flecha al techo del calabozo."
SAY.Tutorial and First Room.505.,,"
The minotaur tries to go after you, but is stopped by a pull by the rope, to realize that is neglected, take the time to tie another rope and throw it.","El minotauro trata de ir tras de ti, pero es detenido de un tiron por la soga, al percatarse de eso se descuida, aprovechas el momento para atar otra soga y lanzarsela."
SAY.Tutorial and First Room.506.,,"
Your arrow goes straight to your head, however it realizes and manages to block it with your free arm, now you use the free end of the rope to tie another rope that you shoot to the ceiling.","Tu flecha va directo a su cabeza, sin embargo este se da cuenta y logra bloquearla con su brazo libre, ahora usas el extremo libre de la cuerda para atar otra soga que disparas al techo."
SAY.Tutorial and First Room.507.,,"
The arrow hits the target, now the minotaur can not use his arms, you start running around him while he tries desperately to reach you, ending up rolled and exposed.","La flecha da en el blanco, ahora el minotauro no puede usar sus brazos, comienzas a correr alrededor de el mientras este intenta desesperadamente alcanzarte, terminando enrollado y expuesto."
SAY.Tutorial and First Room.508.,,"
The minotaur is exposed, take the last arrow you have left, aim and shoot directly in the minotaur's forehead, ending his life.","El minotauro queda expuesto, sacas la ultima flecha que te queda, apuntas y disparas directo en la frente del minotauro, dando fin a su vida."
SAY.Tutorial and First Room.510.,,"
You take your shield and ax to throw everything against the minotaur, the minotaur uses his powerful antlers to stop you.","Tomas tu escudo y hacha para lanzarte con todo contra el minotauro, el minotauro usa su poderosa cornamenta para detenerte."
SAY.Tutorial and First Room.511.,,"
The minotaur puts his horns in front and manages to penetrate your shield with this, but his horns are stuck in the shield.","El minotauro pone su cornamente de frente y logra penetrar tu escudo con esta, pero sus cuernos quedan atorados en el escudo."
SAY.Tutorial and First Room.512.,,"
Quickly you use your ax to cut one of the minotaur's horns, each blow annoys the beast that moves wildly to escape.","Rapidamente usas tu hacha para cortar uno de los cuernos del minotauro, cada golpe hace enojar a la bestia que se mueve salvajemente para escapar."
SAY.Tutorial and First Room.513.,,"
Until the horn is broken, then the minotaur roars heartbreaking, furious begins to raise his head while shaking it vertiginously.","Hasta que el cuerno se rompe, entonces el minotauro lanza un rugido desgarrador, furioso comienza a elevear su cabeza mientras la sacude vertiginosamente."
SAY.Tutorial and First Room.514.,,"
It shakes you so hard that you let go of the shield and fall flat on the ground, dropping your ax in the process.","Te sacude con tanta fuerza que sueltas el escudo y caes aparatosamente contra el suelo, soltando tu hacha en el proceso."
SAY.Tutorial and First Room.515.,,"
The minotaur finally manages to get rid of the shield of the antlers, full of rage attacks against you, without wasting time you look around and once the horn of the beast on the ground, you take it and just when the minotaur hits.....","El minotauro finalmente logra zafarse el escudo de la cornamenta, lleno de rabia arremete contra ti, sin perder tiempo miras a tu alrededor y vez el cuerno de la bestia en el suelo, lo tomas y justo cuando el minotauro de embiste......"
SAY.Tutorial and First Room.516.,,"
You manage to evade the death blow of the horn, although you are not unharmed, you manage to get out alive, unlike the minotaur who lies with his own horn piercing his heart.","Logras evadir el golpe mortal del cuerno, aunque no sales ileso, logras salir con vida a diferencia del minotauro que yace con su propio cuerno atravesando su corazon."
WRITE.Tutorial and First Room.518,,{$life},{$life}
SAY.Tutorial and First Room.520.,,"
Look at the minotaur, the eyes of the eyes of fury and rage, the monster of the hand and the blow with the right arm which you avoid 
\ncrouching you.","Mirar al minotauro, los ojos de los ojos de la furia y la rabia, el monstruo de la mano y el golpe con el brazo derecho el cual esquivas agachandote."
SAY.Tutorial and First Room.521.,,"
The monster turns and with its left elbow a strong blow connects you, which throws you strongly with the ground.","El monstruo gira y con su codo izquierdo te conecta un fuerte golpe, el cual te arroja fuertemente con el suelo."
WRITE.Tutorial and First Room.523,,{$life},{$life}
SAY.Tutorial and First Room.524.,,"
The minotaur is thrown at you, so you release the power of your magical vaculo and with the minotaur enclosures in a triangular crystal.","El minotauro se lanza sobre ti, asi que liberas el poder de tu vaculo magico y con el encierras al minotauro en un cristal con forma triangular."
SAY.Tutorial and First Room.527.,,"
The minotaur gets up and prepares to finish you, you try to use your weapons to stop him but the beast is too strong for him to be stopped.","El minotauro se incorpora y se dispone a acabarte, tratas de usar tus armas para detenerlo pero la bestia es muy fuerte para que la ser detenida."
SAY.Tutorial and First Room.528.,,"
Quickly the minotaur pierces your chest with its horns, the dungeon claims another life.","Velozmente el minotauro atraviesa tu pecho con sus cuernos, el calabozo clama otra vida."
SAY.Tutorial and First Room.402.,,"You invoke the power of thunder, your eyes shine as they emerge from these energy trails.","invocas al poder del trueno, tus ojos brillan mientras emergen de estos unas estelas de energia."
SAY.Tutorial and First Room.403.,,"While your weapon is bathed with this energy loads against the beast, while advancing each step increases your strength and determination.","Mientras tu arma se baña con esta energia cargas contra la bestia, mientras avanzas cada paso aumenta tu fuerza y determinacion. "
SAY.Tutorial and First Room.404.,,"
The minotaur and you advance frantically, when they are about to collapse, your power produces a blinding light and .....","El minotauro y tu avanzan frenéticamente, cuando estan apunto de colosionar, tu poder produce una enceguecedora luz y....."
SAY.Tutorial and First Room.406.,,"
From the glow emerge both bodies in motion each is on the opposite side to which they were, for a moment they remain immobile, until body is defeated and you put one knee on the ground.","Del resplandor emergen ambos  cuerpos en movimiento cada uno queda del lado opuesto al que estaban, durante unos instantes se quedan imoviles, hasta que cuerpo se vence  y pones una rodilla en tierra."
SAY.Tutorial and First Room.407.,,"
The rest of your body does not take long to yield, you release your swords while your other knee prostrates on the floor like your palms. ","El resto de tu cuerpo no tarda en ceder, sueltas tus espadas mientras tu otra rodilla se postra en el piso al igual que tus palmas."
WRITE.Tutorial and First Room.438,,{$Life},{$Life}
SAY.Tutorial and First Room.408.,,"
You take one of your hands to the side of your body, a liquid substance is present instantly, you look at your reddish hand soaked in your blood.","Llevas una de tus manos al costado de tu cuerpo, una sustancia liquida se hace presente al instante, miras tu mano rojisa empapada en tu sangre."
SAY.Tutorial and First Room.409.,,"
Your hand trembles as you watch it, slowly you return it to the ground, while a small smile escapes in your mouth, accompanied by the following phrase:","Tu mano tiembla mientras la observas, lentamente la devuelves al suelo, mientras una pequeña sonrisa se escapa en tu boca, acompañada de la siguiente frase:"
SAY.Tutorial and First Room.418.,,"
At the end of the sentence you turn and look at the minotaur covered in blood, your attack seriously hurt the minotaur.","Al terminar la frase volteas y miras al minotauro cubierto de sangre,tu ataque lastimo seriamente al minotauro."
SAY.Tutorial and First Room.419.,,"
But he does not give up without a fight, using whatever remains of his strength he tries to throw himself on.","Pero este no se rinde sin dar pelea, usando lo que le queda de fuerza intenta lanzarse sobre."
SAY.Tutorial and First Room.420.,,"
The minotaur attacks so you invoke once again the power of thunder, this time you channel it into your hands and hit the ground hard.","El minotauro ataca así que invocas una vez más el poder del trueno, esta vez lo canalizas en tus manos y golpeas con fuerza el suelo."
SAY.Tutorial and First Room.422.,,"
Throwing a powerful thunder that travels through the ground, is so fast that it impacts the minotaur and in seconds is disintegrated by your attack.","Lanzando un poderoso trueno que viaja atravez del suelo, es tan rapido que impacta al minotauro y en segundos es desintegrado por tu ataque."
SAY.Tutorial and First Room.426.,,Using your power over the earth you build a rock armor around your foot and with this you connect a fierce kick.,Usando tu poder sobre la tierra construyes una coraza de roca alrededor de tu pie y con esta conectas una feroz patada.
SAY.Tutorial and First Room.427.,,"
You use this strategy to wear the minotaur, turn and hit with your limbs covered in stone.","Usas esta estrategia para desgastar al minotauro, girar y golpeas con tus extremidades cubiertas en piedra."
SAY.Tutorial and First Room.428.,,"
Your constant attacks suffocate the beast but you can not make it fall, you turn to connect a kick in the minotaur's jaw, but it catches your leg.
\n","Tus constantes ataques sofocan a la bestia pero no logras hacer que caiga, giras para conectar una patada en la quijada del minotauro, pero este atrapa tu pata."
SAY.Tutorial and First Room.429.,,"The minotaur takes you hard, turns, picks you up and lashes you hard against the ground.","El minotauro te toma con fuerza, gira , te levanta y te azota con fuerza contra el suelo."
SAY.Tutorial and First Room.430.,,"
Your blood is released from your mouth after the impact, suddenly come to you from the sky the monstrous figure of the minotaur which jumped to crush you.","Tu sangre sale disparada de tu boca tras el impacto, de repente vez venir hacia ti desde el cielo la monstruosa figura del minotaruo el cual salto para aplastarte."
WRITE.Tutorial and First Room.436,,{$Life},{$Life}
SAY.Tutorial and First Room.431.,,"
Wheels on the ground to escape death, the minotaur lashes the ground with force but does not connect you.","A pesar del fuerte golpe que te llevas, haz logrado completar tu mision, tus ataques hicieron enfurecer al minotauro quien no noto que la trampa que le tendias."
SAY.Tutorial and First Room.432.,,"
In spite of the strong blow that you take, you have managed to complete your mission, your attacks made the minotaur annoy who did not notice the trap that you had.","A pesar del fuerte golpe que tomaste, has logrado completar tu misión, tus ataques hicieron que el minotauro se enojara y no notara la trampa que tenías."
SAY.Tutorial and First Room.433.,,"
The minotaur runs to attack you, when you are close enough you get up and from the place where you were emerging from the ground a rock spear that crosses the minotaur's head.","El minotauro corre a atacarte, cuando esta lo suficientemente cerca te levantas y del lugar donde estabas emerge del suelo una lanza de roca que atravieza la cabeza del minotauro."
SAY.Tutorial and First Room.424.,,"Despite having stopped the minotaur, you know that he is too strong to face him one by one.",A pesar de haber detenido al minotauro sabes que él es demasiado fuerte para enfrentarlo uno a uno.
SAY.Tutorial and First Room.425.,,"
For what you propose another strategy, you throw yourself to attack the minotaur.","Por lo que planteas otra estrategia, te lanzas a atacar al minotauro."
SAY.Tutorial and First Room.439.,,"You invoke the power of fire and create a ring of fire around them, wrapping them both to create their battlefield.","Invocas al poder del fuego y creas un aro de fuego alrededor, envolviendolos a ambos para crear su campo de batalla."
SAY.Tutorial and First Room.440.,,"
The minotaur looked around, the flames surrounding them both and there was no way out of this arena.","El minotauro miro alrededor, las llamas los rodeaban a ambos y no habia manera de salir de esta arena."
SAY.Tutorial and First Room.441.,,"
Seeing no exit the minotaur decides to attack you, throws powerful blows to try to rip your head off, but you are skilled and you manage to evade them.
","Al verse sin salida el minotauro decide atacarte, lanza poderosos golpes para intentar arrancarte la cabeza, pero eres habil y logras evadirlos."
SAY.Tutorial and First Room.442.,,"
You keep dodging the attacks until the fight takes you to be in the middle of a wall and the attacks of the minotaur, even so you avoid the blow, making the minotaur almost fall over the fire.","Sigues esquivando los ataques hasta que la lucha te lleva a estar en medio de un muro y los ataques del minotauro, aun asi evitas el golpe, logrando que el minotauro casi caiga sobre el fuego."
SAY.Tutorial and First Room.443.,,"
The minotaur manages to stop, avoiding falling into the fire, take advantage of the occasion and use your power to make the circle close and the wall rise.","El minotauro logra detenerse, evitando caer al fuego, aprovechas la ocasion y usas tu poder para hacer que el circulo se cierre y la pared se eleve."
SAY.Tutorial and First Room.444.,,"
The minotaur retreats, while the circle continues to close, with the minotaur on his back, you can come and jump.","El minotauro retrocede, mientras el circulo continua cerrandose, con el minotauro de espaldas aprovechas acercarte y saltar. "
SAY.Tutorial and First Room.445.,,"
You hit the minotaur from behind, this one and suddenly a tremendous blow connects you. You take advantage of the east impulse to get out of the circle of fire.","Golpeas al minotauro por atras, este y de manera repentina te conecta un tremendo golpe. Aprovechas el impulso del este para salir del circulo de fuego."
WRITE.Tutorial and First Room.447,,{$life},{$life}
SAY.Tutorial and First Room.448.,,"
While flying outside the burning circle, it closes and consumes the minotaur.","Mientras vuelas fuera del circulo ardiente, este se cierra consumiendo asi al minotauro."
SAY.Tutorial and First Room.450.,,"
The minotaur prepares a powerful onslaught, while approaching furtively you invoke the power of the wind with which you jump high dodging the attack.","El minotauro prepara una embestida poderosa, mientras se acerca furtivamente invocas el poder del viento con el cual saltas alto esquivando el ataque."
SAY.Tutorial and First Room.451.,,"
You use the power of the wind to dive into the minotaur, while falling you generate an immense wind wave which you concentrate like a sword to cut the beast.","Usas el poder del viento para lanzarte en picada contra el minotauro, mientras caes generas una inmensa onda viento la cual concentras como una espada para cortar a la bestia."
SAY.Tutorial and First Room.452.,,,
When falling strongly impact with your wave of wind to the arm of the minotaur which is cut in two by the blow.,,,
SAY.Tutorial and First Room.453.,,"
The minotaur brings his other hand to the affected area, after a few moments he tries to put his claws on you.","El minotauro lleva su otra mano a la zona afecta, luego de unos instantes trata ponerte las garras encima."
SAY.Tutorial and First Room.454.,,"
The minotaur manages to tear you with his attack but the blow is not fatal, repistas to take distance, you know that fighting head-on is not a good idea.","El minotauro logra rasgarte con su ataque pero el golpe no es fatal, repistas para tomar distancia, sabes que pelear de frente no es un buena idea."
WRITE.Tutorial and First Room.456,,{$life},{$life}
SAY.Tutorial and First Room.457.,,"
Using your wind skill, you jump on the minotaur, he seems to chase you with his eyes.","Usando tu habilidad de viento, saltas sobre el minotauro, este parece cazarte con la mirada."
SAY.Tutorial and First Room.458.,,"
As you move through the air he prepares to connect, but out of nowhere you disappear from his sight.","Mientras avanzas en el aire el se prepara para conectarte, pero de la nada desapareces de su vista."
SAY.Tutorial and First Room.459.,,"
The minotaur is surprised, while you take advantage, thanks to your ability of the wind you have been able to move towards the side of the beast.","El minotauro se sorprende, mientras tu aprovechas, gracias a tu habilidad del viento te haz podido mover hacia un costado de la bestia."
SAY.Tutorial and First Room.460.,,"
Now you prepare to attack, but the minotaur realized your intentions and turns to hit you.","Ahora te preparas para atacar, pero el minotauro se dio cuenta de tus intenciones y gira para golpearte."
SAY.Tutorial and First Room.461.,,"
Both are on their way to collide, when they are about to meet you disappear once more.","Ambos estan en camino para la colisionar, cuando estan a punto de encontrarse te desapareces una vez mas."
SAY.Tutorial and First Room.462.,,"
Now you are on top of the minotaur, he manages to react but he does it too late, you manage to land using the same technique in half the body of the minotaur.","Ahora estas arriba del minotauro, este logra reaccionar pero lo hace demasiado tarde, logras aterrizar usando la misma tecnica partes a la mitad el cuerpo del minotauro."
SAY.Tutorial and First Room.464.,,"
The minotaur seeks to attack you, launches for you in a furious and fierce way, you remain paralyzed while the minotaur approaches quickly.
","El minotauro busca atacarte, se lanza a por ti de manera furiosa y feroz, te quedas paralizado mientras el minotauro se acerca rapidamente."
SAY.Tutorial and First Room.465.,,,
The minotaur connects with your body and crosses it from side to side with its horns.,,,
SAY.Tutorial and First Room.466.,,"
It seems that the end is approaching, the minotaur lifts your body and roars in victory.","Pero en el fondo de tu ser se esconde un pequeña mueca, casi una sonrisa. ""Bestia estupida"", sale de tus labios mientras tu cuerpo comenzaba a derretirse."
SAY.Tutorial and First Room.467.,,"
But deep inside you hide a small grimace, almost a smile. ""Stupid beast"", leaves your lips while your body began to melt.","Haz invocado el poder del agua, con el cual has convertido en materia liquida, la cual comienza a resbalar por el cuerpo del minotauro."
SAY.Tutorial and First Room.468.,,"
Invoking the power of water, with which you have become liquid matter, which begins to slip through the body of the minotaur.","Haz invocando el poder del agua, con el que te has convertido en materia líquida, que comienza a deslizarse por la cuerpo del minotauro."
SAY.Tutorial and First Room.469.,,"
The liquid begins to cross the antlers of the monster, it slides down its front crossing its pores, its eyes, ears, mouth, any pipeline it finds in its path.","El liquido comienza a recorrer la cornamenta del monstruo, se desliza por su frente atravezando sus poros, sus ojos, oidos, boca, cualquier ducto que encuentra a su paso."
SAY.Tutorial and First Room.470.,,"
The liquid is introduced into the body of the minotaur, slowly covering his respiratory tract and filling his lungs.","El liquido se introduce en el cuerpo del minotauro, lentamente tapando sus vias respiratorias y llenando sus pulmones."
SAY.Tutorial and First Room.471.,,"
Slowly drown the best until it collapses on the ground, with nothing more to do than the sigh of his last breath.","Lentamente ahogas a la bestia hasta que esta se desploma en el suelo, sin mas nada que hacer mas que el suspiro de su ultimo aliento."
SAY.Tutorial and First Room.484.,,"
You incorporate to face the minotaur, prepare one of your spells to attack the minotaur.","Te incorporas para hacerle frente al minotauro, preparas uno de tus hechizos para atacar al minotauro."
SAY.Tutorial and First Room.486.,,"
The minotaur gets up and prepares to attack, without time to think you cast your spell to the minotaur.","El minotauro se incorpora y se dispone a atacar, sin tiempo para pensar lanzas tu hechizo al minotauro."
SAY.Tutorial and First Room.487.,,"
This manages to connect the beast, but unfortunately the desired effect is not achieved, the minotaur barely flinches at your attack.","Este logra conectar a la bestia, pero lamentablemente no lo logra el efecto deseado, el minotauro apenas se inmuta ante tu ataque."
SAY.Tutorial and First Room.488.,,"
Now it's the minotaur's turn, he roars and launches for you, he hits a powerful blow with his claw crossing your body and ending your trip in the dungeon.","Ahora es turno del minotauro, este ruge y se lanza por ti, asesta un poderoso golpe con su garra atravesando  tu cuerpo y poniendo fin a tu viaje en el calabozo."
SAY.Tutorial and First Room.535.,,,
You have managed to overcome the adversities and once a path in front of you that is divided in two:,,,Haz logrado superar las adversidades y vez un camino frente a ti que se divide en dos:
MENU.Tutorial and First Room.536,,Right,Derecha
MENU.Tutorial and First Room.537,,Left,Izquierda
SAY.Tutorial and First Room.539.,,"
You have chosen to go to the right, you advance in the darkness looking for an exit, when suddenly you come across ...","Haz elegido ir por la derecha, avanzas en la oscuridad buscando una salida, cuando de repente te encuentras con...."
SAY.Tutorial and First Room.543.,,,
Thanks for playing this demo/Gracias por jugar este demo.,,,
SAY.Tutorial and First Room.541.,,"
You have chosen to go to the left, you advance in the darkness looking for an exit, when suddenly you find yourself with ....","Haz elegido ir por la izquierda, avanzas en la oscuridad buscando una salida, cuando de repente te encuentras con...."
SAY.Tutorial and First Room.542.,,,
Thanks for playing this demo/Gracias por jugar este demo.,,,
SAY._CommandCopyBuffer.542.,,,
Thanks for playing this demo/Gracias por jugar este demo.,,,
You try to flee taking advantage of the hard blow you hit the minotaur.,,,
You summon a powerful thunder that rushes against the minotaur like a spear piercing its flesh and leaving it dead at your feet.,,,
Forward on the road a separation is coming.,,,"Frente al camino, aparece una separación "
\nChoose:,,,Elige: 
You draw your swords and you throw yourself against the beast.,,,Desenvainas tus espadas y te lanzas contra la bestia. 
After stopping your attack the minotaur takes impulse and throws you fiercely against the wall of the dungeon.,,,Después de detener tu ataque el minotauro toma impulso y te arroja ferozmente contra el muro del calabozo.
When falling strongly impact with your wave of wind to the arm of the minotaur which is cut in two by the blow.,,,Al caer impactas fuertemente con tu onda de viento al brazo del minotauro el cual es cortado en dos por el golpe.
The minotaur connects with your body and crosses it from side to side with its horns.,,,El minotauro conecta con tu cuerpo y lo atraviesa de lado a lado con sus cuernos.
The beast is fast but due to the blow and your great agility you manage to escape from the minotaur.,,,
Preparing to launch you into the crater you just created with your spell.,,,
